# The fit parameters to the track data using the 2 point method
# tau (ms), mu (m/s), umu (m/s), std (m/s), ustd (m/s), reduced chi 2
0.08, 0.13777057838061324, 0.39963102569411035, 14.375652377515923, 0.21572083308292914, 0.12562138977417625
0.09, -0.4567113198558759, 0.3368565367868466, 9.339236216177946, 0.13597809790671256, 0.21337646736974608
0.10, 0.1555352944899955, 0.202297966828657, 8.206857956143596, 0.08762087411665632, 0.1022315964936893
0.20, -0.15781229192177373, 0.103274488883442, 3.8189990013560933, 0.04844802833235666, 0.08559215475941674
0.30, 0.10944768969031746, 0.08901460095205879, 2.5683851649768776, 0.04186194515006563, 0.12242998583705697
0.40, -0.04988143582900302, 0.08063219540028073, 2.0574636389377914, 0.04022996406516568, 0.14794758878835593
0.50, 0.07330632669724074, 0.04133857211145828, 1.6220518549040448, 0.0215116667822799, 0.057711308584029626
0.60, -0.023957376350617, 0.04963913469948115, 1.20605092359694, 0.026643565286737402, 0.1315105359948716
0.70, -0.001085389483895919, 0.03985503023474214, 0.9260614234244109, 0.02033194979166419, 0.15391087212254217
0.80, -0.1887999249459616, 0.0272210558587856, 0.8978703472688301, 0.015632440034146648, 0.0808016644452156
0.90, 0.21520496316946608, 0.02991476169245172, 0.8730557662243745, 0.019410842520007254, 0.09064343502099034
1.00, 0.15990250893979513, 0.025733406481458485, 0.8494196042012614, 0.01585892406750928, 0.0759831338519525
1.10, -0.1238161322380941, 0.035391415769064336, 0.8403162184809011, 0.02256196866596762, 0.12157410746904815
1.20, -0.012905345132322258, 0.021063695892766465, 0.5490161623212128, 0.012686692564407189, 0.09856195212768394
