# The fit parameters to the track data using the Spline method
# tau (ms), mu (m/s), umu (m/s), std (m/s), ustd (m/s), reduced chi 2
0.08, 0.49725228812833494, 0.4426299412998587, 12.798738194158691, 0.23233961559316657, 0.1998096645547577
0.09, -0.20251127482761014, 0.14850514409118648, 8.889096960379637, 0.0619835926830642, 0.04168704317762533
0.10, -0.2492751388438709, 0.1557205539141479, 7.625597382082014, 0.06546606665087724, 0.05676977090305409
0.20, -0.35578362248072204, 0.10988742909625664, 3.7319457998226584, 0.05360378753941089, 0.09497104070617014
0.30, 0.13612025257901741, 0.07729256087346978, 2.5973657898548352, 0.03648380550014732, 0.09187059260638844
0.40, 0.10804797373138186, 0.055324007014664424, 1.9730741923510744, 0.030075105140943102, 0.06425347954114799
0.50, 0.13379201167797752, 0.041255681519914524, 1.6018749350271282, 0.0221504057700364, 0.05761556477086211
0.60, 0.08515322584193774, 0.040611187286853284, 1.2531432303113423, 0.022904447222722703, 0.09074593795752471
0.70, -0.014653600313168959, 0.024331209456660025, 0.9784296085659767, 0.012487804563468758, 0.050738966540166755
0.80, -0.2987850934438577, 0.03250004974166385, 0.8408871456725769, 0.02034929062028053, 0.1029689867163494
0.90, 0.15477551605555206, 0.029480073150219215, 0.8506620304345451, 0.01788547183429147, 0.10536513120999295
1.00, 0.20563775945452417, 0.025057838709292235, 0.8130450429488798, 0.014466645825679823, 0.09022994264970277
1.10, 0.007236979919169644, 0.029188801098012487, 0.7533674291962118, 0.01687752559931345, 0.11071907726879919
1.20, -0.005162000725401822, 0.016152886473844545, 0.5499572047017597, 0.01005535582941638, 0.056845332988099295
